Dạng đối tượng,Đối tượng,Giải thích,Mã NCC,SDT,ĐỊA CHỈ
NH,HANA SS- THÁI BÌNH,Nhà hàng,,,
NH,CT TNHH TM DV HAN YANG,Nhà hàng,,,
KL,MS HỒNG- CHỢ MỚI LONG THÀNH ĐỒNG NAI,,,,
KL,MS HUẾ- SG (CT CÀ PHÊ HOÀNG TRUNG),,,Thay bằng Huế Roocking Coffe,
KL,"MS MINH TRANG- 81/2 HOÀNG DIỆU, NHA TRANG",,,,
KL,MS DƯƠNG MINH LÝ- QUẢNG NINH,,,,
KL,MR GIANG- VẠN GIÃ,,,,
KL,MS HUẾ- SG (ANH TRUNG- DAKNONG),,,Thay bằng Huế Roocking Coffe,
NH,SS IKUSACHI- SG,Nhà hàng,,,
NH,SS GARDEN- NGUYỄN VĂN LỘC,Nhà hàng,,,
KL,MR LEE MINH HEO - HN,,,,
KL,MR TUÂN - HN,,,,
KL,MR THUẬN- SG (NOWZOON),,,,
KL,MR TRẦN HOÀNG- SG,,,,
KL,MR ĐẠI- NHA TRANG,,,,
NH,NH YAKI YUM - NGUYỄN VĂN LỘC,Nhà hàng,,,
NH,MR LƯỢNG - BẮC NINH,Nhà hàng,,0909946299,Số nhà 68 đường Trần Quốc Toản phường Ninh Xá thành phố Bắc Ninh
KL,MS LÌ - SÀI GÒN,,,Chị Lì 0397593050,"76/14 đường 100, P, Tân Phú,  Q9, HCM"
KL,MR TRƯỜNG SSM - PY,,,0867 963 864,"PHÚ LÂM, PHÚ YÊN"
NPP,CT TNHH OCEAN LINK VIỆT NHẬT,Nhà phân phối,,0375 899 123 - Phú,"91 Nguyễn Phong Sắc, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"
KL,CT TNHH SX-TM THIÊN ÂN PHÁT (MR ĐỖ XUÂN-NT),,,0935051700,"Tổ 8, Vĩnh Điềm Thượng, Phường Tây Nha Trang, Tỉnh Khánh Hòa, Việt Nam"
NPP,CT TNHH ĐT TS PHÚ THỊNH,Nhà phân phối,,0919 997 208,"C16 Huỳnh tấn phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh"
NH,MR VÕ CẢNH-HCM,Nhà hàng,,077 298 1681,"291 Bình Tiên- Phường 8, Q6- HCM"
NH,NH KYOBASHI IZAKAYA- SG,Nhà hàng,,0336531211,"8a/h3 Thái Văn Lung, Bến Nghé, Q 1, HCM"
KL,CT LIÊN VIỆT,,,,
NH,MR ĐÔNG - PHÚ QUỐC,Nhà hàng,,,
NH,MR VÕ CẢNH-HCM,Nhà hàng,,,
NH,NH KYOBASHI IZAKAYA- SG,Nhà hàng,,,
NH,NH SUSHI MINH - SG,Nhà hàng,,,
NH,HKD SUSHITO (NHÀ KHO)- SG,Nhà hàng,,0865 299 965/076 986 7789,"Số 25 đường 19 khu An Phú, An Khánh ,phường An Phú, quận 2, HCM"
KL,MS THANH THẢO- SG,,,0347102055,"224/6/36, Ung Văn Khiêm, P 25, Bình Thạnh, HCM"
KL,MR HOÀNG - NHA TRANG,,,,
KL,"MR DUY - VĂN CAO, HN",,,,
KL,CT TNHH XK & NK AN PHÚ (HSX 55 MỄ TRÌ),,,,
KL,MR TRÌNH - SG,,,,
NH,CT TNHH MTV ISHIGA (PHIPHI SS)- ĐÀ NẴNG,Nhà hàng,,0979852619,"41 Lê Hồng Phong, phường Hải Châu, Thành phố Đà Nẵng, Việt Nam"
NPP,CT MARUSEI - SG,Nhà phân phối,,,
NPP,CT MARUSEI - ĐN,Nhà phân phối,,,
NPP,CT MARUSEI - HN,Nhà phân phối,,,
KL,MR HOÀNG - NHA TRANG,,,,
KL,"MR DUY - VĂN CAO, HN",,,,
KL,MS THANH THẢO- SG,,,,
NH,CT TNHH XK & NK AN PHÚ (HSX 55 MỄ TRÌ),Nhà hàng,,,
KL,MR VINH- ĐÀ NẴNG,,,,
NH,HKD SUSHITO (NHÀ KHO)- SG,Nhà hàng,,,
NH,CT 138 ENT (LẨU CÁ THANH ĐA) - SG,Nhà hàng,,,
NH,ANH LỘC - ĐÔNG NAI,Nhà hàng,,,
NH,NH NAGI 2 - GÒ VẤP,Nhà hàng,,,
KL,MS TRINH- QUẬN 7,,,036 7810160/ 0329774225,"1172/11a Huỳnh Tấn Phát , P.Tân Phú, Q.7, HCM"
KL,CT TNHH KAKINOKI (MS PHƯƠNG -SG),,,,"12 E PHAM VIẾT CHÁNH, Phường 19, Quận Bình Thạnh, Hồ Chí Minh"
NPP,CT TNHH MEAT FARM,Nhà phân phối,,,
KL,CHEF HỒNG - HN,,,,
KL,MR THÊU - HN -CS2,,,,
KL,ANH TIÊN - CẦN THƠ,,,,
KL,MR BÙI DANH - SG,,,079220176,"sô 5 võ văn kiệt, Phường 16, Quận 8, Hồ Chí Minh"
KL,CT MOO JIN (MS HỒNG ÁNH - SG),,,0965185785,"khách sạn Grace - Mặt sau chung cư CT6 - Kđt Mỹ Đình Sông Đà, HN"
KL,MR THÁI - HN,,,0925029492,"Toà i1 Imperia, Vinhomes Smart City, Tây Mỗ, Nam Từ Liêm, HN"
KL,MR HẢI- HN,,,0964023333,"Phòng 3401, Tòa Fs, Gold Season, 47 Nguyễn Tuân, Thanh Xuân Trung, Thanh Xuân, HN"
KL,MS NGỢI - ECO,,,,
KL,MR TRIỆT - TÂY NINH,,,,
KL,MR HỢP - ĐÀ NẴNG,,,,
KL,MITSUBITSHI - HN,,,,
KL,MR HẢI TRIỀU - Q10 - SG,,,,
NPP,CT ANH VŨ - HN (C HƯƠNG),Nhà phân phối,,,
KL,CT DELMAR VN - (C HƯƠNG VOV),,,,
KL,MR HUY - YERSIN - NT,,,,
KL,QUÁN ỐC 88 - HN,,,,
KL,MR LONG - CẦU GIẤY - HN,,,,
KL,MR HIẾU - HN (61 BÁT SỨ),,,,
KL,CT TNHH MTV ĐẠI VY (NH MAYONAKA),,,,
KL,CT KYOTO YAKINIKU - A CHÂU - DN,,,,
NPP,CT THỰC PHẨM NGÀY MỚI,Nhà phân phối,,,
KL,MS GIANG - 54 VŨ HUY TÂN - HN,,,,
KL,MS CHÂU TO - SG,,,,
KL,CT TNHH KIWAMI VN - MR TUẤN - NT,,,,
KL,MR TRẦN QUỐC Ý - NT,,,,
KL,QUÁN TANAKEI - SG,,,,
KL,KIN SUSHI - LÂM ĐỒNG,,,,
KL,CT TNHH SƠN BA (MR THÀNH VIN),,,,
KL,CT TNHH MTV TM NAM ANH FOODS (MR VINH- ĐÀ NẴNG),,,,
KL,MR QUANG THẤT - HN,,,,
KL,MR HOÀNG VŨ - SG,,,,
KL,MS LAN - NT,,,,
KL,KHÁCH LẺ,,,,
KL,MR ĐÔ - SG,,,,
KL,MS HUYỀN TRANG - NT,,,,
NH,NH HÀN QUỐC OMAKASE,Nhà hàng,,,
KL,MR LONG - THỊNH LIỆT - HN,,,,
KL,KIM THẢO - PY,,,,
NH,CN DNTN XD LONG PHƯỚC (MR CHÁNH-VT),Nhà hàng,,,
NH,HÂY SUSHI - CẦN THƠ,Nhà hàng,,,
NH,NH MAXI - NHA TRANG,Nhà hàng,,,
KL,MS ĐÌNH PHONG - HN,,,,
KL,MS THỦY TIÊN - HN,,,,
NH,BIG SUSHI - LÊ NHÃ - ĐN,Nhà hàng,,,
NH,MR NGUYỄN ANH - LINH ĐÀM - HN,Nhà hàng,,,
KL,MR TRƯỜNG - SG,,,,
KL,MS LINH - HN,,,,
KL,DOAN TAM KICCHOU - HN,,,,
KL,FAMILY SUSHI  - QNAM,,,,
KL,MR QUỐC HOÀN - HN,,,,
KL,MS THƠM - NT,,,,
KL,CT TNHH TM DV VÀ TP PHƯƠNG LINH,,,,
KL,CT ĐÔNG PHƯƠNG,,,,
KL,MR NHẬT TRẦN - HN,,,,
